Empresa;Codigo;indices dos quais participa
LOCAWEB;LWSA3;GPTW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
LOCKHEED;LMTB34;BDRX
LOG COM PROP;LOGG3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
LOG-IN;LOGN3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
LOJAS MARISA;AMAR3;IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
LOJAS RENNER;LREN3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
LOPES BRASIL;LPSB3;IGCX,IGNM,ITAG
LOWES COMPA;LOWC34;BDRX
LULULEMON AT;L1UL34;BDRX
LUMEN TECH;L1MN34;BDRX
M.DIASBRANCO;MDIA3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
MACY S;MACY34;BDRX
MAGAZ LUIZA;MGLU3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX
MARATHON OIL;M1RO34;BDRX
MARCOPOLO;POMO3;IGCX,ITAG
